,ranking,band_singer,song,songurl,titletext,url,year,0
0,1,Faith Hill,Breathe,/wiki/Breathe_(Faith_Hill_song),Breathe,/wiki/Faith_Hill,2000,1
1,2,Santana,Smooth,/wiki/Smooth_(song),Smooth,/wiki/Santana_(band),2000,2
1,2,Rob Thomas,Smooth,/wiki/Smooth_(song),Smooth,/wiki/Rob_Thomas_(musician),2000,2
2,3,Santana,Maria Maria,/wiki/Maria_Maria,Maria Maria,/wiki/Santana_(band),2000,3
2,3,The Product G&B,Maria Maria,/wiki/Maria_Maria,Maria Maria,/wiki/The_Product_G%26B,2000,3
3,4,Joe,I Wanna Know,/wiki/I_Wanna_Know_(Joe_song),I Wanna Know,/wiki/Joe_(singer),2000,4
4,5,Vertical Horizon,Everything You Want,/wiki/Everything_You_Want_(Vertical_Horizon_song),Everything You Want,/wiki/Vertical_Horizon,2000,5
5,6,Destiny's Child,Say My Name,/wiki/Say_My_Name,Say My Name,/wiki/Destiny%27s_Child,2000,6
6,7,Savage Garden,I Knew I Loved You,/wiki/I_Knew_I_Loved_You_(Savage_Garden_song),I Knew I Loved You,/wiki/Savage_Garden,2000,7
7,8,Lonestar,Amazed,/wiki/Amazed,Amazed,/wiki/Lonestar,2000,8
8,9,Matchbox Twenty,Bent,/wiki/Bent_(song),Bent,/wiki/Matchbox_Twenty,2000,9
9,10,Toni Braxton,He Wasn't Man Enough,/wiki/He_Wasn%27t_Man_Enough,He Wasn't Man Enough,/wiki/Toni_Braxton,2000,10
10,11,Creed,Higher,/wiki/Higher_(Creed_song),Higher,/wiki/Creed_(band),2000,11
11,12,Aaliyah,Try Again,/wiki/Try_Again_(Aaliyah_song),Try Again,/wiki/Aaliyah,2000,12
12,13,Destiny's Child,"Jumpin', Jumpin'","/wiki/Jumpin%27,_Jumpin%27","Jumpin', Jumpin'",/wiki/Destiny%27s_Child,2000,13
13,14,Sisqó,Thong Song,/wiki/Thong_Song,Thong Song,/wiki/Sisq%C3%B3,2000,14
14,15,3 Doors Down,Kryptonite,/wiki/Kryptonite_(3_Doors_Down_song),Kryptonite,/wiki/3_Doors_Down,2000,15
15,16,Pink,There You Go,/wiki/There_You_Go,There You Go,/wiki/Pink_(singer),2000,16
16,17,Madonna,Music,/wiki/Music_(Madonna_song),Music,/wiki/Madonna_(entertainer),2000,17
17,18,Janet Jackson,Doesn't Really Matter,/wiki/Doesn%27t_Really_Matter,Doesn't Really Matter,/wiki/Janet_Jackson,2000,18
18,19,Christina Aguilera,What a Girl Wants,/wiki/What_a_Girl_Wants_(Christina_Aguilera_song),What a Girl Wants,/wiki/Christina_Aguilera,2000,19
19,20,Brian McKnight,Back at One,/wiki/Back_at_One_(song),Back at One,/wiki/Brian_McKnight,2000,20
20,21,'N Sync,Bye Bye Bye,/wiki/Bye_Bye_Bye,Bye Bye Bye,/wiki/%27N_Sync,2000,21
21,22,Marc Anthony,You Sang to Me,/wiki/You_Sang_to_Me,You Sang to Me,/wiki/Marc_Anthony,2000,22
22,23,Marc Anthony,I Need to Know,/wiki/I_Need_to_Know_(Marc_Anthony_song),I Need to Know,/wiki/Marc_Anthony,2000,23
23,24,Montell Jordan,Get It On Tonite,/wiki/Get_It_On_Tonite,Get It On Tonite,/wiki/Montell_Jordan,2000,24
24,25,Sisqó,Incomplete,/wiki/Incomplete_(Sisq%C3%B3_song),Incomplete,/wiki/Sisq%C3%B3,2000,25
25,26,Macy Gray,I Try,/wiki/I_Try,I Try,/wiki/Macy_Gray,2000,26
26,27,'N Sync,It's Gonna Be Me,/wiki/It%27s_Gonna_Be_Me_(%27N_Sync_song),It's Gonna Be Me,/wiki/%27N_Sync,2000,27
27,28,Celine Dion,That's The Way It Is,/wiki/That%27s_the_Way_It_Is_(Celine_Dion_song),That's The Way It Is,/wiki/Celine_Dion,2000,28
28,29,Nelly,Country Grammar (Hot Shit),/wiki/Country_Grammar_(Hot_Shit),Country Grammar (Hot Shit),/wiki/Nelly,2000,29
29,30,Blaque,Bring It All to Me,/wiki/Bring_It_All_to_Me,Bring It All to Me,/wiki/Blaque,2000,30
30,31,Backstreet Boys,Show Me the Meaning of Being Lonely,/wiki/Show_Me_the_Meaning_of_Being_Lonely,Show Me the Meaning of Being Lonely,/wiki/Backstreet_Boys,2000,31
31,32,Missy Elliott,Hot Boyz,/wiki/Hot_Boyz_(song),Hot Boyz,/wiki/Missy_Elliott,2000,32
31,32,Nas,Hot Boyz,/wiki/Hot_Boyz_(song),Hot Boyz,/wiki/Nas,2000,32
31,32,Eve,Hot Boyz,/wiki/Hot_Boyz_(song),Hot Boyz,/wiki/Eve_(rapper),2000,32
31,32,Q-Tip,Hot Boyz,/wiki/Hot_Boyz_(song),Hot Boyz,/wiki/Q-Tip_(musician),2000,32
32,33,BBMak,Back Here,/wiki/Back_Here,Back Here,/wiki/BBMak,2000,33
33,34,Sonique,It Feels So Good,/wiki/It_Feels_So_Good,It Feels So Good,/wiki/Sonique_(musician),2000,34
34,35,Nine Days,Absolutely (Story of a Girl),/wiki/Absolutely_(Story_of_a_Girl),Absolutely (Story of a Girl),/wiki/Nine_Days,2000,35
35,36,Creed,With Arms Wide Open,/wiki/With_Arms_Wide_Open,With Arms Wide Open,/wiki/Creed_(band),2000,36
36,37,Enrique Iglesias,Be with You,/wiki/Be_with_You_(Enrique_Iglesias_song),Be with You,/wiki/Enrique_Iglesias,2000,37
37,38,Christina Aguilera,Come On Over Baby (All I Want Is You),/wiki/Come_On_Over_Baby_(All_I_Want_Is_You),Come On Over Baby (All I Want Is You),/wiki/Christina_Aguilera,2000,38
38,39,Ruff Endz,No More,/wiki/No_More_(Ruff_Endz_song),No More,/wiki/Ruff_Endz,2000,39
39,40,Blink 182,All The Small Things,/wiki/All_The_Small_Things,All The Small Things,/wiki/Blink_182,2000,40
40,41,Faith Hill,The Way You Love Me,/wiki/The_Way_You_Love_Me_(Faith_Hill_song),The Way You Love Me,/wiki/Faith_Hill,2000,41
41,42,Christina Aguilera,I Turn To You,/wiki/I_Turn_to_You_(All-4-One_song),I Turn To You,/wiki/Christina_Aguilera,2000,42
42,43,Third Eye Blind,Never Let You Go,/wiki/Never_Let_You_Go_(Third_Eye_Blind_song),Never Let You Go,/wiki/Third_Eye_Blind,2000,43
43,44,LeAnn Rimes,I Need You,/wiki/I_Need_You_(LeAnn_Rimes_song),I Need You,/wiki/LeAnn_Rimes,2000,44
44,45,Mariah Carey,Thank God I Found You,/wiki/Thank_God_I_Found_You,Thank God I Found You,/wiki/Mariah_Carey,2000,45
44,45,Joe,Thank God I Found You,/wiki/Thank_God_I_Found_You,Thank God I Found You,/wiki/Joe_(singer),2000,45
44,45,98 Degrees,Thank God I Found You,/wiki/Thank_God_I_Found_You,Thank God I Found You,/wiki/98_Degrees,2000,45
45,46,Jagged Edge,Let's Get Married,/wiki/Let%27s_Get_Married_(song),Let's Get Married,/wiki/Jagged_Edge_(American_group),2000,46
46,47,Whitney Houston,My Love Is Your Love,/wiki/My_Love_Is_Your_Love_(song),My Love Is Your Love,/wiki/Whitney_Houston,2000,47
47,48,Smash Mouth,Then The Morning Comes,/wiki/Then_The_Morning_Comes,Then The Morning Comes,/wiki/Smash_Mouth,2000,48
48,49,Eiffel 65,Blue (Da Ba Dee),/wiki/Blue_(Da_Ba_Dee),Blue (Da Ba Dee),/wiki/Eiffel_65,2000,49
49,50,Sting,Desert Rose,/wiki/Desert_Rose_(Sting_song),Desert Rose,/wiki/Sting_(musician),2000,50
49,50,Cheb Mami,Desert Rose,/wiki/Desert_Rose_(Sting_song),Desert Rose,/wiki/Cheb_Mami,2000,50
50,51,Eminem,The Real Slim Shady,/wiki/The_Real_Slim_Shady,The Real Slim Shady,/wiki/Eminem,2000,51
51,52,Pink,Most Girls,/wiki/Most_Girls_(Pink_song),Most Girls,/wiki/Pink_(singer),2000,52
52,53,Next,Wifey,/wiki/Wifey_(song),Wifey,/wiki/Next_(American_band),2000,53
53,54,Everclear,Wonderful,/wiki/Wonderful_(Everclear_song),Wonderful,/wiki/Everclear_(band),2000,54
54,55,Britney Spears,Oops!... I Did It Again,/wiki/Oops!..._I_Did_It_Again_(song),Oops!... I Did It Again,/wiki/Britney_Spears,2000,55
55,56,Jessica Simpson,I Wanna Love You Forever,/wiki/I_Wanna_Love_You_Forever,I Wanna Love You Forever,/wiki/Jessica_Simpson,2000,56
56,57,98 Degrees,Give Me Just One Night (Una Noche),/wiki/Give_Me_Just_One_Night_(Una_Noche),Give Me Just One Night (Una Noche),/wiki/98_Degrees,2000,57
57,58,Filter,Take a Picture,/wiki/Take_a_Picture_(Filter_song),Take a Picture,/wiki/Filter_(band),2000,58
58,59,Red Hot Chili Peppers,Otherside,/wiki/Otherside,Otherside,/wiki/Red_Hot_Chili_Peppers,2000,59
59,60,Jay-Z,Big Pimpin',/wiki/Big_Pimpin%27,Big Pimpin',/wiki/Jay-Z,2000,60
59,60,UGK,Big Pimpin',/wiki/Big_Pimpin%27,Big Pimpin',/wiki/UGK,2000,60
60,61,Son by Four,A Puro Dolor,/wiki/A_Puro_Dolor,A Puro Dolor,/wiki/Son_by_Four,2000,61
61,62,Jagged Edge,He Can't Love U,/wiki/He_Can%27t_Love_U,He Can't Love U,/wiki/Jagged_Edge_(American_group),2000,62
62,63,Avant,Separated,/wiki/Separated_(song),Separated,/wiki/Avant_(singer),2000,63
63,64,Carl Thomas,I Wish,/wiki/I_Wish_(Carl_Thomas_song),I Wish,/wiki/Carl_Thomas_(singer),2000,64
64,65,Donell Jones,U Know What's Up,/wiki/U_Know_What%27s_Up,U Know What's Up,/wiki/Donell_Jones,2000,65
65,66,soulDecision,Faded,/wiki/Faded_(soulDecision_song),Faded,/wiki/SoulDecision,2000,66
65,66,Thrust,Faded,/wiki/Faded_(soulDecision_song),Faded,/wiki/Thrust_(rapper),2000,66
66,67,Kid Rock,Only God Knows Why,/wiki/Only_God_Knows_Why,Only God Knows Why,/wiki/Kid_Rock,2000,67
67,68,Mystikal,Shake Ya Ass,/wiki/Shake_Ya_Ass,Shake Ya Ass,/wiki/Mystikal,2000,68
68,69,Erykah Badu,Bag Lady,/wiki/Bag_Lady,Bag Lady,/wiki/Erykah_Badu,2000,69
69,70,Train,Meet Virginia,/wiki/Meet_Virginia,Meet Virginia,/wiki/Train_(band),2000,70
70,71,DMX,Party Up (Up in Here),/wiki/Party_Up_(Up_in_Here),Party Up (Up in Here),/wiki/DMX_(rapper),2000,71
71,72,Mýa,Case of the Ex,/wiki/Case_of_the_Ex,Case of the Ex,/wiki/M%C3%BDa,2000,72
72,73,Dr. Dre,Forgot About Dre,/wiki/Forgot_About_Dre,Forgot About Dre,/wiki/Dr._Dre,2000,73
72,73,Eminem,Forgot About Dre,/wiki/Forgot_About_Dre,Forgot About Dre,/wiki/Eminem,2000,73
73,74,Jo Dee Messina,That's the Way,/wiki/That%27s_the_Way_(Jo_Dee_Messina_song),That's the Way,/wiki/Jo_Dee_Messina,2000,74
74,75,Westlife,Swear It Again,/wiki/Swear_It_Again,Swear It Again,/wiki/Westlife,2000,75
75,76,Dr. Dre,The Next Episode,/wiki/The_Next_Episode,The Next Episode,/wiki/Dr._Dre,2000,76
75,76,Snoop Dogg,The Next Episode,/wiki/The_Next_Episode,The Next Episode,/wiki/Snoop_Dogg,2000,76
76,77,Britney Spears,From the Bottom of My Broken Heart,/wiki/From_the_Bottom_of_My_Broken_Heart,From the Bottom of My Broken Heart,/wiki/Britney_Spears,2000,77
77,78,Savage Garden,Crash and Burn,/wiki/Crash_and_Burn_(Savage_Garden_song),Crash and Burn,/wiki/Savage_Garden,2000,78
78,79,Chad Brock,Yes!,/wiki/Yes!_(song),Yes!,/wiki/Chad_Brock,2000,79
79,80,George Strait,The Best Day,/wiki/The_Best_Day_(George_Strait_song),The Best Day,/wiki/George_Strait,2000,80
80,81,Donell Jones,Where I Wanna Be,/wiki/Where_I_Wanna_Be_(Donell_Jones_song),Where I Wanna Be,/wiki/Donell_Jones,2000,81
81,82,Toby Keith,How Do You Like Me Now?!,/wiki/How_Do_You_Like_Me_Now%3F!_(song),How Do You Like Me Now?!,/wiki/Toby_Keith,2000,82
82,83,Tim McGraw,My Best Friend,/wiki/My_Best_Friend_(song),My Best Friend,/wiki/Tim_McGraw,2000,83
83,84,Goo Goo Dolls,Broadway,/wiki/Broadway_(Goo_Goo_Dolls_song),Broadway,/wiki/Goo_Goo_Dolls,2000,84
84,85,Da Brat,What'chu Like,/wiki/What%27chu_Like,What'chu Like,/wiki/Da_Brat,2000,85
84,85,Tyrese,What'chu Like,/wiki/What%27chu_Like,What'chu Like,/wiki/Tyrese_Gibson,2000,85
85,86,Kandi,Don't Think I'm Not,/wiki/Don%27t_Think_I%27m_Not,Don't Think I'm Not,/wiki/Kandi_Burruss,2000,86
86,87,Lee Ann Womack,I Hope You Dance,/wiki/I_Hope_You_Dance_(song),I Hope You Dance,/wiki/Lee_Ann_Womack,2000,87
87,88,Alice Deejay,Better Off Alone,/wiki/Better_Off_Alone_(Alice_DeeJay_song),Better Off Alone,/wiki/Alice_Deejay,2000,88
88,89,Debelah Morgan,Dance with Me,/wiki/Dance_with_Me_(Debelah_Morgan_song),Dance with Me,/wiki/Debelah_Morgan,2000,89
89,90,Lonestar,What About Now,/wiki/What_About_Now_(Lonestar_song),What About Now,/wiki/Lonestar,2000,90
90,91,Sammie,I Like It,/wiki/I_Like_It_(Sammie_song),I Like It,/wiki/Sammie,2000,91
91,92,Kevon Edmonds,24/7,/wiki/24/7_(Kevon_Edmonds_song),24/7,/wiki/Kevon_Edmonds,2000,92
92,93,LFO,Girl on TV,/wiki/Girl_on_TV,Girl on TV,/wiki/LFO_(group),2000,93
93,94,Lil' Bow Wow,Bounce with Me,/wiki/Bounce_with_Me,Bounce with Me,/wiki/Bow_Wow_(rapper),2000,94
93,94,Xscape,Bounce with Me,/wiki/Bounce_with_Me,Bounce with Me,/wiki/Xscape_(band),2000,94
94,95,Dixie Chicks,Cowboy Take Me Away,/wiki/Cowboy_Take_Me_Away,Cowboy Take Me Away,/wiki/Dixie_Chicks,2000,95
95,96,Aaliyah,I Don't Wanna,/wiki/I_Don%27t_Wanna_(Aaliyah_song),I Don't Wanna,/wiki/Aaliyah,2000,96
96,97,Destiny's Child,Independent Women,/wiki/Independent_Women,Independent Women,/wiki/Destiny%27s_Child,2000,97
97,98,Samantha Mumba,Gotta Tell You,/wiki/Gotta_Tell_You_(song),Gotta Tell You,/wiki/Samantha_Mumba,2000,98
98,99,Jennifer Lopez,Waiting for Tonight,/wiki/Waiting_for_Tonight,Waiting for Tonight,/wiki/Jennifer_Lopez,2000,99
99,100,Mary Mary,Shackles (Praise You),/wiki/Shackles_(Praise_You),Shackles (Praise You),/wiki/Mary_Mary,2000,100
100,1,Lifehouse,Hanging by a Moment,/wiki/Hanging_by_a_Moment,Hanging by a Moment,/wiki/Lifehouse_(band),2001,1
101,2,Alicia Keys,Fallin',/wiki/Fallin%27_(Alicia_Keys_song),Fallin',/wiki/Alicia_Keys,2001,2
102,3,Janet Jackson,All for You,/wiki/All_for_You_(Janet_Jackson_song),All for You,/wiki/Janet_Jackson,2001,3
103,4,Train,Drops of Jupiter (Tell Me),/wiki/Drops_of_Jupiter_(Tell_Me),Drops of Jupiter (Tell Me),/wiki/Train_(band),2001,4
104,5,Jennifer Lopez,I'm Real,/wiki/I%27m_Real_(Jennifer_Lopez_song),I'm Real,/wiki/Jennifer_Lopez,2001,5
104,5,Ja Rule,I'm Real,/wiki/I%27m_Real_(Jennifer_Lopez_song),I'm Real,/wiki/Ja_Rule,2001,5
105,6,Matchbox Twenty,If You're Gone,/wiki/If_You%27re_Gone,If You're Gone,/wiki/Matchbox_Twenty,2001,6
106,7,Eve,Let Me Blow Ya Mind,/wiki/Let_Me_Blow_Ya_Mind,Let Me Blow Ya Mind,/wiki/Eve_(entertainer),2001,7
106,7,Gwen Stefani,Let Me Blow Ya Mind,/wiki/Let_Me_Blow_Ya_Mind,Let Me Blow Ya Mind,/wiki/Gwen_Stefani,2001,7
107,8,Dido,Thank You,/wiki/Thank_You_(Dido_song),Thank You,/wiki/Dido_(singer),2001,8
108,9,Lenny Kravitz,Again,/wiki/Again_(Lenny_Kravitz_song),Again,/wiki/Lenny_Kravitz,2001,9
109,10,Destiny's Child,Independent Women,/wiki/Independent_Women,Independent Women,/wiki/Destiny%27s_Child,2001,10
110,11,Blu Cantrell,Hit 'Em Up Style (Oops!),/wiki/Hit_%27Em_Up_Style_(Oops!),Hit 'Em Up Style (Oops!),/wiki/Blu_Cantrell,2001,11
111,12,Shaggy,It Wasn't Me,/wiki/It_Wasn%27t_Me,It Wasn't Me,/wiki/Shaggy_(musician),2001,12
111,12,Rikrok,It Wasn't Me,/wiki/It_Wasn%27t_Me,It Wasn't Me,/wiki/Rikrok,2001,12
112,13,Joe,Stutter,/wiki/Stutter_(Joe_song),Stutter,/wiki/Joe_(singer),2001,13
112,13,Mystikal,Stutter,/wiki/Stutter_(Joe_song),Stutter,/wiki/Mystikal,2001,13
113,14,Staind,It's Been Awhile,/wiki/It%27s_Been_Awhile,It's Been Awhile,/wiki/Staind,2001,14
114,15,Usher,U Remind Me,/wiki/U_Remind_Me,U Remind Me,/wiki/Usher_(entertainer),2001,15
115,16,Jagged Edge,Where the Party At,/wiki/Where_the_Party_At,Where the Party At,/wiki/Jagged_Edge_(American_group),2001,16
115,16,Nelly,Where the Party At,/wiki/Where_the_Party_At,Where the Party At,/wiki/Nelly,2001,16
116,17,Shaggy,Angel,/wiki/Angel_(Shaggy_song),Angel,/wiki/Shaggy_(musician),2001,17
116,17,Rayvon,Angel,/wiki/Angel_(Shaggy_song),Angel,/wiki/Rayvon,2001,17
117,18,Nelly,Ride wit Me,/wiki/Ride_wit_Me,Ride wit Me,/wiki/Nelly,2001,18
117,18,City Spud,Ride wit Me,/wiki/Ride_wit_Me,Ride wit Me,/wiki/City_Spud,2001,18
118,19,Uncle Kracker,Follow Me,/wiki/Follow_Me_(Uncle_Kracker_song),Follow Me,/wiki/Uncle_Kracker,2001,19
119,20,112,Peaches & Cream,/wiki/Peaches_%26_Cream_(112_song),Peaches & Cream,/wiki/112_(band),2001,20
120,21,Incubus,Drive,/wiki/Drive_(Incubus_song),Drive,/wiki/Incubus_(band),2001,21
121,22,City High,What Would You Do?,/wiki/What_Would_You_Do%3F_(City_High_song),What Would You Do?,/wiki/City_High,2001,22
122,23,Destiny's Child,Survivor,/wiki/Survivor_(Destiny%27s_Child_song),Survivor,/wiki/Destiny%27s_Child,2001,23
123,24,Christina Aguilera,Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge!_cover,Lady Marmalade,/wiki/Christina_Aguilera,2001,24
123,24,Lil' Kim,Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge!_cover,Lady Marmalade,/wiki/Lil%27_Kim,2001,24
123,24,Mýa,Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge!_cover,Lady Marmalade,/wiki/M%C3%BDa,2001,24
123,24,Pink,Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge!_cover,Lady Marmalade,/wiki/Pink_(singer),2001,24
124,25,OutKast,Ms. Jackson,/wiki/Ms._Jackson,Ms. Jackson,/wiki/OutKast,2001,25
125,26,Jennifer Lopez,Love Don't Cost a Thing,/wiki/Love_Don%27t_Cost_a_Thing_(song),Love Don't Cost a Thing,/wiki/Jennifer_Lopez,2001,26
126,27,Faith Hill,The Way You Love Me,/wiki/The_Way_You_Love_Me_(Faith_Hill_song),The Way You Love Me,/wiki/Faith_Hill,2001,27
127,28,Dream,He Loves U Not,/wiki/He_Loves_U_Not,He Loves U Not,/wiki/Dream_(American_group),2001,28
128,29,Crazy Town,Butterfly,/wiki/Butterfly_(Crazy_Town_song),Butterfly,/wiki/Crazy_Town,2001,29
129,30,Ja Rule,Put It on Me,/wiki/Put_It_on_Me_(Ja_Rule_song),Put It on Me,/wiki/Ja_Rule,2001,30
129,30,Lil' Mo,Put It on Me,/wiki/Put_It_on_Me_(Ja_Rule_song),Put It on Me,/wiki/Lil%27_Mo,2001,30
130,31,Mary J. Blige,Family Affair,/wiki/Family_Affair_(Mary_J._Blige_song),Family Affair,/wiki/Mary_J._Blige,2001,31
131,32,Lee Ann Womack,I Hope You Dance,/wiki/I_Hope_You_Dance_(song),I Hope You Dance,/wiki/Lee_Ann_Womack,2001,32
132,33,Moby,South Side,/wiki/South_Side_(song),South Side,/wiki/Moby,2001,33
132,33,Gwen Stefani,South Side,/wiki/South_Side_(song),South Side,/wiki/Gwen_Stefani,2001,33
133,34,Madonna,Don't Tell Me,/wiki/Don%27t_Tell_Me_(Madonna_song),Don't Tell Me,/wiki/Madonna_(entertainer),2001,34
134,35,Missy Elliott,Get Ur Freak On,/wiki/Get_Ur_Freak_On,Get Ur Freak On,/wiki/Missy_Elliott,2001,35
135,36,K-Ci & JoJo,Crazy,/wiki/Crazy_(K-Ci_and_JoJo_song),Crazy,/wiki/K-Ci_%26_JoJo,2001,36
136,37,Craig David,Fill Me In,/wiki/Fill_Me_In,Fill Me In,/wiki/Craig_David,2001,37
137,38,Janet Jackson,Someone to Call My Lover,/wiki/Someone_to_Call_My_Lover,Someone to Call My Lover,/wiki/Janet_Jackson,2001,38
138,39,Creed,With Arms Wide Open,/wiki/With_Arms_Wide_Open,With Arms Wide Open,/wiki/Creed_(band),2001,39
139,40,Mýa,Case of the Ex,/wiki/Case_of_the_Ex,Case of the Ex,/wiki/M%C3%BDa,2001,40
140,41,O-Town,All or Nothing,/wiki/All_or_Nothing_(O-Town_song),All or Nothing,/wiki/O-Town,2001,41
141,42,Destiny's Child,Bootylicious,/wiki/Bootylicious,Bootylicious,/wiki/Destiny%27s_Child,2001,42
142,43,Nelly Furtado,I'm Like a Bird,/wiki/I%27m_Like_a_Bird,I'm Like a Bird,/wiki/Nelly_Furtado,2001,43
143,44,3 Doors Down,Kryptonite,/wiki/Kryptonite_(3_Doors_Down_song),Kryptonite,/wiki/3_Doors_Down,2001,44
144,45,R. Kelly,Fiesta,/wiki/Fiesta_(R._Kelly_song),Fiesta,/wiki/R._Kelly,2001,45
144,45,Jay-Z,Fiesta,/wiki/Fiesta_(R._Kelly_song),Fiesta,/wiki/Jay-Z,2001,45
145,46,Sugar Ray,When It's Over,/wiki/When_It%27s_Over_(Sugar_Ray_song),When It's Over,/wiki/Sugar_Ray,2001,46
146,47,Aerosmith,Jaded,/wiki/Jaded_(Aerosmith_song),Jaded,/wiki/Aerosmith,2001,47
147,48,Jagged Edge,Promise,/wiki/Promise_(Jagged_Edge_song),Promise,/wiki/Jagged_Edge_(American_group),2001,48
148,49,Case,Missing You,/wiki/Missing_You_(Case_song),Missing You,/wiki/Case_(singer),2001,49
149,50,Ginuwine,Differences,/wiki/Differences_(song),Differences,/wiki/Ginuwine,2001,50
150,51,'N Sync,This I Promise You,/wiki/This_I_Promise_You,This I Promise You,/wiki/%27N_Sync,2001,51
151,52,Jay-Z,Izzo (H.O.V.A.),/wiki/Izzo_(H.O.V.A.),Izzo (H.O.V.A.),/wiki/Jay-Z,2001,52
152,53,Lil' Mo,Superwoman Pt. II,/wiki/Superwoman_Pt._II,Superwoman Pt. II,/wiki/Lil%27_Mo,2001,53
152,53,Fabolous,Superwoman Pt. II,/wiki/Superwoman_Pt._II,Superwoman Pt. II,/wiki/Fabolous,2001,53
153,54,Evan and Jaron,Crazy for This Girl,/wiki/Crazy_for_This_Girl,Crazy for This Girl,/wiki/Evan_and_Jaron,2001,54
154,55,Ricky Martin,Nobody Wants to Be Lonely,/wiki/Nobody_Wants_to_Be_Lonely,Nobody Wants to Be Lonely,/wiki/Ricky_Martin,2001,55
154,55,Christina Aguilera,Nobody Wants to Be Lonely,/wiki/Nobody_Wants_to_Be_Lonely,Nobody Wants to Be Lonely,/wiki/Christina_Aguilera,2001,55
155,56,Jay-Z,I Just Wanna Love U (Give It 2 Me),/wiki/I_Just_Wanna_Love_U_(Give_It_2_Me),I Just Wanna Love U (Give It 2 Me),/wiki/Jay-Z,2001,56
156,57,Missy Elliott,One Minute Man,/wiki/One_Minute_Man,One Minute Man,/wiki/Missy_Elliott,2001,57
156,57,Ludacris,One Minute Man,/wiki/One_Minute_Man,One Minute Man,/wiki/Ludacris,2001,57
157,58,Mystikal,Danger (Been So Long),/wiki/Danger_(Been_So_Long),Danger (Been So Long),/wiki/Mystikal,2001,58
157,58,Nivea,Danger (Been So Long),/wiki/Danger_(Been_So_Long),Danger (Been So Long),/wiki/Nivea_(singer),2001,58
158,59,Enya,Only Time,/wiki/Only_Time,Only Time,/wiki/Enya,2001,59
159,60,Toya,I Do!!,/wiki/I_Do!!,I Do!!,/wiki/Toya_(singer),2001,60
160,61,S Club 7,Never Had a Dream Come True,/wiki/Never_Had_a_Dream_Come_True,Never Had a Dream Come True,/wiki/S_Club_7,2001,61
161,62,Tamia,Stranger in My House,/wiki/Stranger_in_My_House_(Tamia_song),Stranger in My House,/wiki/Tamia,2001,62
162,63,Jessica Simpson,Irresistible,/wiki/Irresistible_(Jessica_Simpson_song),Irresistible,/wiki/Jessica_Simpson,2001,63
163,64,Sunshine Anderson,Heard It All Before,/wiki/Heard_It_All_Before_(Sunshine_Anderson_song),Heard It All Before,/wiki/Sunshine_Anderson,2001,64
164,65,Dave Matthews Band,The Space Between,/wiki/The_Space_Between,The Space Between,/wiki/Dave_Matthews_Band,2001,65
165,66,Faith Hill,There You'll Be,/wiki/There_You%27ll_Be,There You'll Be,/wiki/Faith_Hill,2001,66
166,67,Musiq Soulchild,Love,/wiki/Love_(Musiq_Soulchild_song),Love,/wiki/Musiq_Soulchild,2001,67
167,68,112,It's Over Now,/wiki/It%27s_Over_Now_(112_song),It's Over Now,/wiki/112_(band),2001,68
168,69,3LW,No More (Baby I'ma Do Right),/wiki/No_More_(Baby_I%27ma_Do_Right),No More (Baby I'ma Do Right),/wiki/3LW,2001,69
169,70,Nelly Furtado,Turn Off the Light,/wiki/Turn_Off_the_Light,Turn Off the Light,/wiki/Nelly_Furtado,2001,70
170,71,Brooks & Dunn,Ain't Nothing 'bout You,/wiki/Ain%27t_Nothing_%27bout_You,Ain't Nothing 'bout You,/wiki/Brooks_%26_Dunn,2001,71
171,72,Jennifer Lopez,Play,/wiki/Play_(Jennifer_Lopez_song),Play,/wiki/Jennifer_Lopez,2001,72
172,73,Lonestar,I'm Already There,/wiki/I%27m_Already_There_(song),I'm Already There,/wiki/Lonestar,2001,73
173,74,Lil' Romeo,My Baby,/wiki/My_Baby_(Lil%27_Romeo_song),My Baby,/wiki/Romeo_Miller,2001,74
174,75,U2,Beautiful Day,/wiki/Beautiful_Day,Beautiful Day,/wiki/U2,2001,75
175,76,Blake Shelton,Austin,/wiki/Austin_(song),Austin,/wiki/Blake_Shelton,2001,76
176,77,Ludacris,Southern Hospitality,/wiki/Southern_Hospitality_(song),Southern Hospitality,/wiki/Ludacris,2001,77
177,78,Tim McGraw,Grown Men Don't Cry,/wiki/Grown_Men_Don%27t_Cry,Grown Men Don't Cry,/wiki/Tim_McGraw,2001,78
178,79,Ja Rule,Livin' It Up,/wiki/Livin%27_It_Up_(Ja_Rule_song),Livin' It Up,/wiki/Ja_Rule,2001,79
178,79,Case,Livin' It Up,/wiki/Livin%27_It_Up_(Ja_Rule_song),Livin' It Up,/wiki/Case_(singer),2001,79
179,80,Mariah Carey,Loverboy,/wiki/Loverboy_(Mariah_Carey_song),Loverboy,/wiki/Mariah_Carey,2001,80
179,80,Cameo,Loverboy,/wiki/Loverboy_(Mariah_Carey_song),Loverboy,/wiki/Cameo_(band),2001,80
180,81,The Isley Brothers,Contagious,/wiki/Contagious_(song),Contagious,/wiki/The_Isley_Brothers,2001,81
